Unnamed: 0,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)","pH, water, unfiltered, field, standard units (Maximum)","pH, water, unfiltered, field, standard units (Minimum)","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)","Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)","Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)","Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)","Temperature, water, degrees Celsius (Mean)","Temperature, water, degrees Celsius (Minimum)","Temperature, water, degrees Celsius (Maximum)",Water Quality,Training,Location ID,Date
4,0.0881091617933723,0.858974358974359,0.0107662082514734,0.029296875,0.6842105263157895,0.853658536585366,0.7651515151515151,0.7559055118110236,0.296875,0.2916666666666667,0.2819767441860465,0.6481481481481481,True,2203655,2016-01-28
41,0.041130604288499,0.8974358974358975,0.01950884086444,0.028515625,0.6578947368421053,0.853658536585366,0.7424242424242425,0.7480314960629921,0.3,0.3012820512820513,0.2877906976744186,0.6574074074074073,True,2203655,2016-01-29
78,0.0923976608187134,0.8974358974358975,0.0239685658153241,0.0400390625,0.6578947368421053,0.853658536585366,0.7424242424242425,0.7559055118110236,0.30625,0.3044871794871795,0.2994186046511628,0.6666666666666666,True,2203655,2016-01-30
115,0.2202729044834308,0.8846153846153847,0.03713163064833,0.0619140625,0.6578947368421053,0.853658536585366,0.7424242424242425,0.7480314960629921,0.309375,0.3076923076923077,0.2994186046511628,0.6574074074074073,True,2203655,2016-01-31
152,0.2144249512670565,0.8846153846153847,0.0351669941060903,0.0869140625,0.6513157894736843,0.8658536585365854,0.7348484848484849,0.7401574803149606,0.325,0.3141025641025641,0.3226744186046512,0.6666666666666666,True,2203655,2016-02-01
189,0.1202729044834308,0.8974358974358975,0.0385068762278978,0.073046875,0.6447368421052633,0.8658536585365854,0.7272727272727273,0.7401574803149606,0.35,0.3397435897435897,0.3459302325581395,0.6666666666666666,True,2203655,2016-02-02
226,0.1202729044834308,0.8846153846153847,0.03713163064833,0.0666015625,0.638157894736842,0.853658536585366,0.7121212121212122,0.7244094488188976,0.39375,0.3717948717948718,0.3895348837209302,0.6666666666666666,True,2203655,2016-02-03
263,0.09317738791423,0.8846153846153847,0.0320235756385068,0.0609375,0.611842105263158,0.853658536585366,0.6818181818181819,0.6850393700787402,0.41875,0.4198717948717949,0.3953488372093023,0.6574074074074073,True,2203655,2016-02-04
300,0.1456140350877193,0.8717948717948718,0.0146365422396856,0.0412109375,0.5855263157894738,0.853658536585366,0.6590909090909091,0.6692913385826772,0.40625,0.3974358974358974,0.3924418604651163,0.6666666666666666,True,2203655,2016-02-05
337,0.0805068226120857,0.8717948717948718,0.0218074656188605,0.0435546875,0.5855263157894738,0.853658536585366,0.6666666666666667,0.6692913385826772,0.375,0.3685897435897436,0.3604651162790698,0.6574074074074073,True,2203655,2016-02-06
374,0.0832358674463937,0.8717948717948718,0.0092927308447937,0.0345703125,0.618421052631579,0.8414634146341464,0.6893939393939394,0.6771653543307087,0.346875,0.3461538461538462,0.3488372093023256,0.6481481481481481,True,2203655,2016-02-07
411,0.117933723196881,0.8717948717948718,0.0041060903732809,0.0263671875,0.618421052631579,0.8414634146341464,0.6969696969696969,0.6771653543307087,0.33125,0.3333333333333333,0.3139534883720931,0.6666666666666666,True,2203655,2016-02-08
448,0.0769980506822612,0.8717948717948718,0.0020039292730844,0.01119140625,0.631578947368421,0.8414634146341464,0.7121212121212122,0.7086614173228347,0.321875,0.3237179487179487,0.3052325581395348,0.6574074074074073,True,2203655,2016-02-09
485,0.0354775828460039,0.8461538461538461,0.0017288801571709,0.00623046875,0.6578947368421053,0.8414634146341464,0.7348484848484849,0.7165354330708662,0.29375,0.2852564102564103,0.2936046511627907,0.6574074074074073,True,2203655,2016-02-10
522,0.0791423001949317,0.8205128205128206,0.0017288801571709,0.015078125,0.6710526315789473,0.853658536585366,0.7424242424242425,0.7401574803149606,0.271875,0.2692307692307693,0.2616279069767442,0.6759259259259258,True,2203655,2016-02-11
559,0.0458089668615984,0.8846153846153847,0.0019056974459724,0.01302734375,0.6776315789473685,0.8658536585365854,0.7575757575757576,0.7559055118110236,0.271875,0.2692307692307693,0.2587209302325581,0.6851851851851851,True,2203655,2016-02-12
