Unnamed: 0,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)","pH, water, unfiltered, field, standard units (Maximum)","pH, water, unfiltered, field, standard units (Minimum)","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)","Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)","Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)","Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)","Temperature, water, degrees Celsius (Mean)","Temperature, water, degrees Celsius (Minimum)","Temperature, water, degrees Celsius (Maximum)",Water Quality,Training,Location ID,Date
12,0.0018713450292397,0.858974358974359,0.0017288801571709,0.0017578125,0.7171052631578948,0.8170731707317074,0.8030303030303031,0.8110236220472442,0.31875,0.3012820512820513,0.3226744186046512,0.6296296296296295,True,2204037,2016-01-28
49,0.0017348927875243,0.858974358974359,0.0017092337917485,0.00171875,0.743421052631579,0.8170731707317074,0.8181818181818182,0.8267716535433072,0.290625,0.2564102564102564,0.311046511627907,0.6296296296296295,True,2204037,2016-01-29
86,0.0017153996101364,0.858974358974359,0.0016895874263261,0.00169921875,0.7500000000000001,0.8292682926829269,0.8181818181818182,0.8110236220472442,0.296875,0.2467948717948718,0.3255813953488372,0.6296296296296295,True,2204037,2016-01-30
123,0.0017153996101364,0.858974358974359,0.0016895874263261,0.00169921875,0.7236842105263158,0.8292682926829269,0.7954545454545455,0.7874015748031497,0.334375,0.2980769230769231,0.3575581395348837,0.6388888888888888,True,2204037,2016-01-31
160,0.001812865497076,0.858974358974359,0.0016895874263261,0.00169921875,0.6842105263157895,0.8292682926829269,0.7575757575757576,0.7559055118110236,0.4,0.3814102564102564,0.4098837209302325,0.6388888888888888,True,2204037,2016-02-01
197,0.0018518518518518,0.858974358974359,0.0016306483300589,0.00171875,0.6842105263157895,0.8292682926829269,0.7424242424242425,0.7244094488188976,0.434375,0.407051282051282,0.4505813953488372,0.6388888888888888,True,2204037,2016-02-02
234,0.0019103313840155,0.782051282051282,0.0004518664047151,0.0012109375,0.6710526315789473,0.8170731707317074,0.7424242424242425,0.7244094488188976,0.434375,0.391025641025641,0.4680232558139535,0.6296296296296295,True,2204037,2016-02-03
271,0.0014814814814814,0.8461538461538461,0.0011984282907662,0.00134765625,0.7039473684210527,0.8170731707317074,0.787878787878788,0.8031496062992126,0.353125,0.3237179487179487,0.3546511627906977,0.6203703703703703,True,2204037,2016-02-04
308,0.0015984405458089,0.8461538461538461,0.0014931237721021,0.0015625,0.743421052631579,0.8170731707317074,0.8257575757575758,0.8346456692913387,0.290625,0.2596153846153846,0.3023255813953489,0.6296296296296295,True,2204037,2016-02-05
345,0.0016374269005847,0.8461538461538461,0.0016110019646365,0.00162109375,0.7565789473684211,0.8170731707317074,0.8333333333333334,0.8346456692913387,0.278125,0.2435897435897435,0.2965116279069767,0.6296296296296295,True,2204037,2016-02-06
382,0.0016569200779727,0.8461538461538461,0.0016502946954813,0.00166015625,0.7500000000000001,0.8170731707317074,0.8257575757575758,0.8267716535433072,0.28125,0.2371794871794872,0.3081395348837209,0.6296296296296295,True,2204037,2016-02-07
